Drug 1,Drug 2,Interaction Description
Medroxyprogesterone acetate,Digitoxin,Medroxyprogesterone acetate may decrease the cardiotoxic activities of Digitoxin.
Bortezomib,Digitoxin,Bortezomib may decrease the cardiotoxic activities of Digitoxin.
Panobinostat,Digitoxin,Panobinostat may decrease the cardiotoxic activities of Digitoxin.
Betaxolol,Digitoxin,Betaxolol may increase the bradycardic activities of Digitoxin.
Enzalutamide,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Enzalutamide.
Abiraterone,Digitoxin,Abiraterone may decrease the cardiotoxic activities of Digitoxin.
Diethylstilbestrol,Digitoxin,Diethylstilbestrol may decrease the cardiotoxic activities of Digitoxin.
Nilotinib,Digitoxin,Nilotinib may decrease the cardiotoxic activities of Digitoxin.
Dexamethasone,Digitoxin,Dexamethasone may decrease the cardiotoxic activities of Digitoxin.
Letrozole,Digitoxin,Letrozole may decrease the cardiotoxic activities of Digitoxin.
Norfloxacin,Digitoxin,Norfloxacin may decrease the cardiotoxic activities of Digitoxin.
Miltefosine,Digitoxin,Miltefosine may decrease the cardiotoxic activities of Digitoxin.
Trimetrexate,Digitoxin,Trimetrexate may decrease the cardiotoxic activities of Digitoxin.
Amphotericin B,Digitoxin,The risk or severity of adverse effects can be increased when Amphotericin B is combined with Digitoxin.
Sirolimus,Digitoxin,Sirolimus may decrease the cardiotoxic activities of Digitoxin.
Alprenolol,Digitoxin,Alprenolol may increase the bradycardic activities of Digitoxin.
Timolol,Digitoxin,Timolol may increase the bradycardic activities of Digitoxin.
Atenolol,Digitoxin,Atenolol may increase the bradycardic activities of Digitoxin.
Bupranolol,Digitoxin,Bupranolol may increase the bradycardic activities of Digitoxin.
Celiprolol,Digitoxin,Celiprolol may increase the bradycardic activities of Digitoxin.
Oxprenolol,Digitoxin,Oxprenolol may increase the bradycardic activities of Digitoxin.
Metoprolol,Digitoxin,Metoprolol may increase the bradycardic activities of Digitoxin.
Bopindolol,Digitoxin,Bopindolol may increase the bradycardic activities of Digitoxin.
Esmolol,Digitoxin,Esmolol may increase the bradycardic activities of Digitoxin.
Pentostatin,Digitoxin,Pentostatin may decrease the cardiotoxic activities of Digitoxin.
Reserpine,Digitoxin,The risk or severity of adverse effects can be increased when Reserpine is combined with Digitoxin.
Thalidomide,Digitoxin,Thalidomide may decrease the cardiotoxic activities of Digitoxin.
Clonidine,Digitoxin,Clonidine may increase the atrioventricular blocking (AV block) activities of Digitoxin.
Pomalidomide,Digitoxin,Pomalidomide may decrease the cardiotoxic activities of Digitoxin.
Furosemide,Digitoxin,The risk or severity of adverse effects can be increased when Furosemide is combined with Digitoxin.
Torasemide,Digitoxin,The risk or severity of adverse effects can be increased when Torasemide is combined with Digitoxin.
Bumetanide,Digitoxin,The risk or severity of adverse effects can be increased when Bumetanide is combined with Digitoxin.
Edrophonium,Digitoxin,Edrophonium may increase the atrioventricular blocking (AV block) activities of Digitoxin.
Cabergoline,Digitoxin,Cabergoline may decrease the cardiotoxic activities of Digitoxin.
Moxifloxacin,Digitoxin,Moxifloxacin may decrease the cardiotoxic activities of Digitoxin.
Pazopanib,Digitoxin,Pazopanib may decrease the cardiotoxic activities of Digitoxin.
Gemifloxacin,Digitoxin,Gemifloxacin may decrease the cardiotoxic activities of Digitoxin.
Ciprofloxacin,Digitoxin,Ciprofloxacin may decrease the cardiotoxic activities of Digitoxin.
Lenvatinib,Digitoxin,Lenvatinib may decrease the cardiotoxic activities of Digitoxin.
Ofloxacin,Digitoxin,Ofloxacin may decrease the cardiotoxic activities of Digitoxin.
Toremifene,Digitoxin,Toremifene may decrease the cardiotoxic activities of Digitoxin.
Arsenic trioxide,Digitoxin,Arsenic trioxide may decrease the cardiotoxic activities of Digitoxin.
Levofloxacin,Digitoxin,Levofloxacin may decrease the cardiotoxic activities of Digitoxin.
Goserelin,Digitoxin,Goserelin may decrease the cardiotoxic activities of Digitoxin.
Vorinostat,Digitoxin,Vorinostat may decrease the cardiotoxic activities of Digitoxin.
Octreotide,Digitoxin,Octreotide may decrease the cardiotoxic activities of Digitoxin.
Triptorelin,Digitoxin,Triptorelin may decrease the cardiotoxic activities of Digitoxin.
Degarelix,Digitoxin,Degarelix may decrease the cardiotoxic activities of Digitoxin.
Indapamide,Digitoxin,The risk or severity of adverse effects can be increased when Indapamide is combined with Digitoxin.
Eribulin,Digitoxin,Eribulin may decrease the cardiotoxic activities of Digitoxin.
Epirubicin,Digitoxin,Epirubicin may decrease the cardiotoxic activities of Digitoxin.
Streptomycin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Streptomycin.
Metrizamide,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Metrizamide.
Kanamycin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Kanamycin.
Idarubicin,Digitoxin,Idarubicin may decrease the cardiotoxic activities of Digitoxin.
Plicamycin,Digitoxin,Plicamycin may decrease the cardiotoxic activities of Digitoxin.
Streptozocin,Digitoxin,Streptozocin may decrease the cardiotoxic activities of Digitoxin.
Tobramycin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Tobramycin.
Amrubicin,Digitoxin,Amrubicin may decrease the cardiotoxic activities of Digitoxin.
Framycetin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Framycetin.
Netilmicin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Netilmicin.
Amikacin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Amikacin.
Valrubicin,Digitoxin,Valrubicin may decrease the cardiotoxic activities of Digitoxin.
Daunorubicin,Digitoxin,Daunorubicin may decrease the cardiotoxic activities of Digitoxin.
Ribostamycin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Ribostamycin.
Doxorubicin,Digitoxin,Doxorubicin may decrease the cardiotoxic activities of Digitoxin.
Arbekacin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Arbekacin.
Gentamicin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Gentamicin.
Paromomycin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Paromomycin.
Spectinomycin,Digitoxin,The serum concentration of Digitoxin can be decreased when it is combined with Spectinomycin.
Prednisone,Digitoxin,Prednisone may decrease the cardiotoxic activities of Digitoxin.
Methylprednisolone,Digitoxin,Methylprednisolone may decrease the cardiotoxic activities of Digitoxin.
Formestane,Digitoxin,Formestane may decrease the cardiotoxic activities of Digitoxin.
Pamidronic acid,Digitoxin,Pamidronic acid may decrease the cardiotoxic activities of Digitoxin.
Bendroflumethiazide,Digitoxin,The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Digitoxin.
Practolol,Digitoxin,Practolol may increase the bradycardic activities of Digitoxin.
Altretamine,Digitoxin,Altretamine may decrease the cardiotoxic activities of Digitoxin.
Arotinolol,Digitoxin,Arotinolol may increase the bradycardic activities of Digitoxin.
Bevantolol,Digitoxin,Bevantolol may increase the bradycardic activities of Digitoxin.
Chlorthalidone,Digitoxin,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Digitoxin.
Tretinoin,Digitoxin,Tretinoin may decrease the cardiotoxic activities of Digitoxin.
Methyclothiazide,Digitoxin,The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Digitoxin.
Clofarabine,Digitoxin,Clofarabine may decrease the cardiotoxic activities of Digitoxin.
Amiloride,Digitoxin,The therapeutic efficacy of Digitoxin can be decreased when used in combination with Amiloride.
Triamterene,Digitoxin,The therapeutic efficacy of Digitoxin can be decreased when used in combination with Triamterene.
Hydrochlorothiazide,Digitoxin,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Digitoxin.
Eplerenone,Digitoxin,The therapeutic efficacy of Digitoxin can be decreased when used in combination with Eplerenone.
Hydroflumethiazide,Digitoxin,The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Digitoxin.
Metolazone,Digitoxin,The risk or severity of adverse effects can be increased when Metolazone is combined with Digitoxin.
Chlorothiazide,Digitoxin,The risk or severity of adverse effects can be increased when Chlorothiazide is combined with Digitoxin.
Quinacrine,Digitoxin,Quinacrine may decrease the cardiotoxic activities of Digitoxin.
Nelarabine,Digitoxin,Nelarabine may decrease the cardiotoxic activities of Digitoxin.
Azacitidine,Digitoxin,Azacitidine may decrease the cardiotoxic activities of Digitoxin.
Ifosfamide,Digitoxin,Ifosfamide may decrease the cardiotoxic activities of Digitoxin.
Cytarabine,Digitoxin,Cytarabine may decrease the cardiotoxic activities of Digitoxin.
Lomustine,Digitoxin,Lomustine may decrease the cardiotoxic activities of Digitoxin.
Mechlorethamine,Digitoxin,Mechlorethamine may decrease the cardiotoxic activities of Digitoxin.
Vincristine,Digitoxin,Vincristine may decrease the cardiotoxic activities of Digitoxin.
Temozolomide,Digitoxin,Temozolomide may decrease the cardiotoxic activities of Digitoxin.
Busulfan,Digitoxin,Busulfan may decrease the cardiotoxic activities of Digitoxin.
Vinorelbine,Digitoxin,Vinorelbine may decrease the cardiotoxic activities of Digitoxin.
Tioguanine,Digitoxin,Tioguanine may decrease the cardiotoxic activities of Digitoxin.
Mitoxantrone,Digitoxin,Mitoxantrone may decrease the cardiotoxic activities of Digitoxin.
Fluorouracil,Digitoxin,Fluorouracil may decrease the cardiotoxic activities of Digitoxin.
Imiquimod,Digitoxin,Imiquimod may decrease the cardiotoxic activities of Digitoxin.
Oxaliplatin,Digitoxin,Oxaliplatin may decrease the cardiotoxic activities of Digitoxin.
Pemetrexed,Digitoxin,Pemetrexed may decrease the cardiotoxic activities of Digitoxin.
Capecitabine,Digitoxin,Capecitabine may decrease the cardiotoxic activities of Digitoxin.
Fludarabine,Digitoxin,Fludarabine may decrease the cardiotoxic activities of Digitoxin.
Pralatrexate,Digitoxin,Pralatrexate may decrease the cardiotoxic activities of Digitoxin.
Etoposide,Digitoxin,Etoposide may decrease the cardiotoxic activities of Digitoxin.
Ruxolitinib,Digitoxin,Ruxolitinib may decrease the cardiotoxic activities of Digitoxin.
Melphalan,Digitoxin,Melphalan may decrease the cardiotoxic activities of Digitoxin.
Sorafenib,Digitoxin,Sorafenib may decrease the cardiotoxic activities of Digitoxin.
Teniposide,Digitoxin,Teniposide may decrease the cardiotoxic activities of Digitoxin.
Everolimus,Digitoxin,Everolimus may decrease the cardiotoxic activities of Digitoxin.
Azathioprine,Digitoxin,Azathioprine may decrease the cardiotoxic activities of Digitoxin.
Dactinomycin,Digitoxin,Dactinomycin may decrease the cardiotoxic activities of Digitoxin.
Mitomycin,Digitoxin,Mitomycin may decrease the cardiotoxic activities of Digitoxin.
Cisplatin,Digitoxin,Cisplatin may decrease the cardiotoxic activities of Digitoxin.
Carmustine,Digitoxin,Carmustine may decrease the cardiotoxic activities of Digitoxin.
Hydroxyurea,Digitoxin,Hydroxyurea may decrease the cardiotoxic activities of Digitoxin.
Cladribine,Digitoxin,Cladribine may decrease the cardiotoxic activities of Digitoxin.
Ibrutinib,Digitoxin,Ibrutinib may decrease the cardiotoxic activities of Digitoxin.
Amsacrine,Digitoxin,Amsacrine may decrease the cardiotoxic activities of Digitoxin.
Vinblastine,Digitoxin,Vinblastine may decrease the cardiotoxic activities of Digitoxin.
Temsirolimus,Digitoxin,Temsirolimus may decrease the cardiotoxic activities of Digitoxin.
Thiotepa,Digitoxin,Thiotepa may decrease the cardiotoxic activities of Digitoxin.
Gemcitabine,Digitoxin,Gemcitabine may decrease the cardiotoxic activities of Digitoxin.
Chlorambucil,Digitoxin,Chlorambucil may decrease the cardiotoxic activities of Digitoxin.
Mercaptopurine,Digitoxin,Mercaptopurine may decrease the cardiotoxic activities of Digitoxin.
Methotrexate,Digitoxin,Methotrexate may decrease the cardiotoxic activities of Digitoxin.
Bleomycin,Digitoxin,Bleomycin may decrease the cardiotoxic activities of Digitoxin.
Estramustine,Digitoxin,Estramustine may decrease the cardiotoxic activities of Digitoxin.
Vindesine,Digitoxin,Vindesine may decrease the cardiotoxic activities of Digitoxin.
Floxuridine,Digitoxin,Floxuridine may decrease the cardiotoxic activities of Digitoxin.
Dacarbazine,Digitoxin,Dacarbazine may decrease the cardiotoxic activities of Digitoxin.
Trabectedin,Digitoxin,Trabectedin may decrease the cardiotoxic activities of Digitoxin.
Irinotecan,Digitoxin,Irinotecan may decrease the cardiotoxic activities of Digitoxin.
Gallium nitrate,Digitoxin,Gallium nitrate may decrease the cardiotoxic activities of Digitoxin.
Topotecan,Digitoxin,Topotecan may decrease the cardiotoxic activities of Digitoxin.
Tibolone,Digitoxin,Tibolone may decrease the cardiotoxic activities of Digitoxin.
Polythiazide,Digitoxin,The risk or severity of adverse effects can be increased when Polythiazide is combined with Digitoxin.
Trichlormethiazide,Digitoxin,The risk or severity of adverse effects can be increased when Trichlormethiazide is combined with Digitoxin.
Albendazole,Digitoxin,Albendazole may decrease the cardiotoxic activities of Digitoxin.
Podofilox,Digitoxin,Podofilox may decrease the cardiotoxic activities of Digitoxin.
Gefitinib,Digitoxin,Gefitinib may decrease the cardiotoxic activities of Digitoxin.
Lapatinib,Digitoxin,Lapatinib may decrease the cardiotoxic activities of Digitoxin.
Regorafenib,Digitoxin,Regorafenib may decrease the cardiotoxic activities of Digitoxin.
Ponatinib,Digitoxin,Ponatinib may decrease the cardiotoxic activities of Digitoxin.
Bendamustine,Digitoxin,Bendamustine may decrease the cardiotoxic activities of Digitoxin.
Axitinib,Digitoxin,Axitinib may decrease the cardiotoxic activities of Digitoxin.
Flutamide,Digitoxin,Flutamide may decrease the cardiotoxic activities of Digitoxin.
Nilutamide,Digitoxin,Nilutamide may decrease the cardiotoxic activities of Digitoxin.
Vismodegib,Digitoxin,Vismodegib may decrease the cardiotoxic activities of Digitoxin.
Exemestane,Digitoxin,Exemestane may decrease the cardiotoxic activities of Digitoxin.
Methyltestosterone,Digitoxin,Methyltestosterone may decrease the cardiotoxic activities of Digitoxin.
Bexarotene,Digitoxin,Bexarotene may decrease the cardiotoxic activities of Digitoxin.
Venetoclax,Digitoxin,Venetoclax may decrease the cardiotoxic activities of Digitoxin.
Tamoxifen,Digitoxin,Tamoxifen may decrease the cardiotoxic activities of Digitoxin.
